Id,Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class,log_duration_in min/ms,log_acousticness
28,Human Impact,Genetic,21.0,0.176,0.907,5.0,-6.901,0,0.142,0.0016,0.027,0.103,0.182,101.795,280960.0,5,8,12.545971148648068,0.0015987213636970278
29,a crowd of rebellion,Meteor,36.0,0.474,0.943,7.0,-2.170850000000002,0,0.0577,3.6e-05,0.000114,0.364,0.423,103.441,202567.0,4,10,12.218830911628837,3.599935201555158e-05
30,Planet of Zeus,Leftovers,38.0,0.452,0.915,11.0,-3.836,1,0.0355,9.51e-06,0.000188,0.0709,0.522,104.995,230653.0,3,8,12.348674031129109,9.509954780236694e-06
31,Arlo Guthrie,Coming into Los Angeles (Taking Woodstock - Original Motion Picture Soundtrack) - Live,34.0,0.62,0.848,Unknown,-7.201,1,0.0391,0.354,0.00103,0.698,0.732,133.557,132880.0,4,10,11.797209269845855,0.30306317449008324
32,Give a Little Love (feat. Sufjan Stevens),"Mina Tindle, Sufjan Stevens",36.0,0.563,0.265,3.0,-10.563,1,0.0321,0.972,0.0164,0.12,0.26,132.207,3.630283333,4,0,1.5326180612582003,0.6790482561804436
33,Derek & The Dominos,Layla - 40th Anniversary Version / 2010 Remastered,1.0,0.403,0.903,1.0,-3.88,1,0.0664,0.574,0.305,0.287,0.498,115.669,423840.0,4,10,12.957113663884012,0.45362014999521144
34,Our Lady Peace,Superman's Dead,55.0,0.247,0.869,1.0,-8.382,1,0.0542,0.0104,8.59e-06,0.0954,0.601,175.26,255327.0,4,10,12.450304272108008,0.010346292054144302
35,Reeshabh Purohit,Soona Soona,42.89,0.467,0.193,1.0,-18.895,1,0.0315,0.731,0.107,0.105,0.108,100.006,5.4,4,0,1.8562979903656263,0.5486992761940722
36,Johnny Cosmic,Kingdom (with The Movement),47.0,0.742,0.503,5.0,-8.396,0,0.0621,0.0604,0.066,0.12,0.444,74.004,282323.0,4,10,12.550810626568419,0.058646195432733424
37,Sonna,Something's Gotta Give,31.0,0.666,0.463,1.0,-7.806,0,0.086,0.413,0.000101,0.232,0.497,84.903,140965.0,4,5,11.856274005530873,0.34571510370239034
38,Urban Dance Squad,Demagogue,37.0,0.643,0.98,2.0,-6.171,1,0.0623,0.0118,5.71e-05,0.642,0.686,94.819,246627.0,4,10,12.415636407467861,0.011730922875698666
39,Betcha,July,55.0,0.607,0.658,6.0,-5.552,0,0.0262,0.0103,0.0224,0.0537,0.567,99.983,207587.0,4,1,12.243310625134978,0.010247316451549523
40,ED.,Sonic Boom,32.0,0.899,0.726,10.0,-9.273,1,0.172,0.000726,0.02,0.109,0.708,115.009,219136.0,4,6,12.29745238398706,0.00072573658948298
41,Corey Harper,On the Run,30.99,0.411,0.512,9.0,-7.491,1,0.027,0.387,0.00124,0.0676,0.0544,83.399,3.44396667,4,0,1.4915473717492584,0.32714314133269456
42,James Taylor,Mexico,3.0,0.774,0.497,11.0,-13.448,1,0.0293,0.279,7.14e-06,0.119,0.768,115.994,177400.0,4,10,12.086167985820309,0.24607852259670565
43,"Bickram Ghosh, Kala Ramnath",Rasiya,21.0,0.732,0.55,2.0,-8.711,0,0.0397,0.809,0.091,0.0914,0.235,132.974,6.133783333,1,0,1.9648417154354008,0.592774206413158
44,Greta Van Fleet,Rolling In The Deep - Recorded At Spotify Studios NYC,60.0,0.614,0.474,11.0,-10.133,0,0.0264,0.00563,0.00285,0.1,0.388,104.987,237653.0,4,10,12.378571113375365,0.005614210784468302
45,Thornhill,Reptile,39.0,0.467,0.985,11.0,-2.347,0,0.211,6.36e-05,0.0101,0.378,0.258,125.06,224160.0,4,8,12.320119822660098,6.359797760574906e-05
46,J.I the Prince of N.Y,R&B Shit (feat. A Boogie Wit da Hoodie),65.0,0.542,0.458,6.0,-10.885,0,0.386,0.493,0.000101,0.0875,0.496,99.218,212695.0,4,5,12.26761919518169,0.4007875185570533
47,Cody Jinks,What Else Is New,44.0,0.512,0.601,8.0,-6.84,1,0.0267,0.00187,0.001565,0.0535,0.821,96.046,170861.0,1,10,12.048611492126975,0.001868253726681822
48,R. D. Burman,"Mehbooba Mehbooba - From “Sholay Songs And Dialogues, Vol. 2” Soundtrack",36.0,0.528,0.477,3.0,-10.454,1,0.0358,0.978,0.557,0.112,0.422,111.511,3.904,4,3,1.5900511986339103,0.6820862332005203
49,R.B James,Let Me Reach That Mountain,47.0,0.704,0.111,9.0,-19.914,0,0.0599,0.925,0.889,0.106,0.179,74.969,3.525,4,7,1.5096175771518896,0.6549259677397475
50,Swiss Portrait,Cassette,40.0,0.591,0.732,10.0,-8.522,1,0.0329,0.435,0.924,0.148,0.712,117.981,218450.0,4,6,12.294317012075673,0.3611648492115844
51,The Wallflowers,One Headlight,71.0,0.701,0.539,2.0,-8.968,1,0.0277,0.000655,0.005,0.0589,0.752,107.531,312627.0,4,10,12.652769264295413,0.0006547855811244668
52,Hanan Ben Ari,◊ê◊ú◊ï◊£ ◊î◊¢◊ï◊ú◊ù,54.0,0.583,0.433,10.0,-8.309,0,0.0501,0.746,0.0001215,0.133,0.22,127.513,215625.0,4,9,12.281300704438166,0.5573274574174104
53,Black Mountain,Wucan,44.0,0.524,0.613,1.0,-10.025,1,0.0256,0.0135,0.653,0.086,0.443,102.399,362960.0,4,10,12.802050669458582,0.013409686909917675
54,Limp Bizkit,Nookie,67.0,0.573,0.929,11.0,-5.996,1,0.082,0.00218,0.0723,0.718,0.284,97.57,289560.0,4,8,12.576121261916793,0.0021776272477741694
55,Garbage,#1 Crush,46.0,0.647,0.627,7.0,-7.156,0,0.0236,0.000119,0.0162,0.331,0.445,94.204,290507.0,4,10,12.579386393621252,0.00011899292006166954
56,The Cardigans,My Favourite Game,67.0,0.586,0.777,5.0,-6.185,0,0.0303,4.78e-05,0.00147,0.0729,0.424,143.339,220468.0,4,6,12.303512374416236,4.7798857616403816e-05
57,Polo G,RAPSTAR,89.0,0.789,0.536,6.0,-6.862,1,0.242,0.41,0.0001215,0.129,0.437,81.039,2.76543333,4,9,1.3258629489185259,0.3435897043900769
58,Sarcastic Sounds,say goodbye,63.0,0.71,0.415,8.0,-9.561,1,0.0908,0.902,0.00236,0.149,0.418,92.016,86749.0,4,6,11.370785697809106,0.6429059641231986
59,Evergrey,The Beholder,49.0,0.512,0.875,9.0,-7.07,0,0.046,0.00161,1.02e-05,0.0957,0.497,137.014,349747.0,4,8,12.764968174141114,0.0016087053394160818
60,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,92.0,0.586,0.616,5.0,-7.964,1,0.0324,0.182,0.0001215,0.0927,0.719,148.088,4.03493333,4,9,1.6164002847720345,0.16720791898390647
61,Pit Pony,Dutch Courage,25.0,0.158,0.916,1.0,-3.281,1,0.0723,1.39e-05,0.0992,0.219,0.423,151.886,270205.0,4,1,12.506939910035191,1.3899903395895197e-05
62,Vertilizar,Nobody's Favorite,26.0,0.426,0.961,6.0,-2.859,1,0.066,7.66e-06,0.18,0.118,0.344,95.0,236000.0,4,8,12.371591321286905,7.659970662349816e-06
63,The Blue Room Band,Emily,52.0,0.524,0.265,Unknown,-15.365,1,0.0282,0.933,0.886,0.186,0.218,106.487,4.8995,3,7,1.7748676015578368,0.6590732002261939
64,Fu Manchu,Eatin' Dust,48.0,0.292,0.927,7.0,-5.142,0,0.081,0.000126,0.0417,0.178,0.403,92.236,190800.0,4,10,12.158986279072735,0.000125992062666729
65,Primal Scream,Gentle Tuesday,31.0,0.426,0.92,6.0,-5.503,1,0.0447,0.000114,0.00412,0.335,0.688,127.532,227120.0,4,1,12.333238194095948,0.00011399350249380579
66,Satish Vyas,Awakening The Soul 2,16.0,0.271,0.48,7.0,-13.697,0,0.0328,0.821,0.925,0.0841,0.57,105.868,1041200.0,3,6,13.85588541253236,0.5993858007454709
67,The Receiving End Of Sirens,This Armistice,33.0,0.457,0.869,7.0,-6.663,1,0.0401,0.000496,0.000443,0.399,0.181,146.024,355640.0,4,10,12.781677074063312,0.0004958770326595204
68,Matt Schofield,Anything But Time,31.0,0.571,0.725,5.0,-5.628,0,0.0361,0.0134,0.00907,0.0897,0.722,122.999,218413.0,4,2,12.294147623362509,0.01331101405967234
69,The Black Crowes,Sometimes Salvation,41.0,0.366,0.662,4.0,-4.914,1,0.034,0.00261,0.001565,0.0594,0.362,148.34,284000.0,3,10,12.556733038263905,0.002606599864949994
70,Rosie Flores,Simple Case of the Blues,38.0,0.65,0.63,11.0,-6.787,0,0.04,0.278,8.55e-05,0.119,0.74,107.69,218747.0,4,2,12.295675661320923,0.24529635595534308
71,Immortal,Blashyrkh - Mighty Ravendark,41.0,0.317,0.99,9.0,-6.162,1,0.154,0.0272,0.651,0.224,0.0336,137.196,273763.0,4,8,12.520021700357674,0.026836653953559674
72,Asha Bhosle,Koi Mar Jaye - Deewaar / Soundtrack Version,9.0,0.502,0.922,5.0,-3.911,1,0.351,0.767,9.93e-06,0.239,0.741,129.215,5.60355,3,3,1.8876073832153144,0.5692831933375594
73,Make Them Suffer,Uncharted,42.0,0.493,0.907,Unknown,-4.058,1,0.0716,0.000133,0.00438,0.131,0.258,120.047,292501.0,4,8,12.58622678323751,0.00013299115628413413
74,"Manuel de Falla, Mischa Maisky, Pavel Gililov",7 Canciones populares españolas - Arranged by Mischa Maisky: No.5: Nana,34.62,0.179,0.061875000000000006,9.0,-22.75185,0,0.0472,0.993,0.9,0.0548,0.0475,90.397,3.00555,4,7,1.3876808994312246,0.6896410412306577
75,Walter Wolfman Washington,Steal Away,23.0,0.544,0.381,10.0,-11.48,0,0.0582,0.307,0.00298,0.104,0.4,146.731,254235.0,4,2,12.446018248481263,0.2677344346420849
76,Lazy Lester,I Made up My Mind,32.0,0.632,0.554,7.0,-10.513,1,0.0455,0.535,0.131,0.7,0.706,131.462,263059.0,4,2,12.48013742202277,0.4285303810391605
77,Wanderlust,Baile Amargo,29.0,0.299,0.941,Unknown,-7.28,1,0.0478,0.000554,0.0953,0.0519,0.674,130.036,174000.0,3,10,12.066816325306588,0.0005538465986536158
78,Bruce Springsteen,Dancing In the Dark,77.0,0.527,0.942,1.0,-5.64,0,0.0366,0.0115,0.001565,0.188,0.495,148.723,4.02178333,4,10,1.613785115638986,0.011434377625663104
79,Spiritbox,Constance,58.0,0.338,0.673,6.0,-7.67,0,0.0459,0.00344,0.129,0.211,0.132,112.255,270416.0,4,8,12.507720490997206,0.0034340967342822125
80,Villagers,A Trick of the Light,61.0,0.563,0.606,11.0,-8.159,1,0.0267,0.513,0.0391,0.132,0.425,150.0,248253.0,4,1,12.422207694567136,0.4140944348062189
81,Alma Zohar,Khulat Einaim,28.0,0.61,0.812,11.0,-5.289,0,0.0391,0.393,7.9e-05,0.344,0.586,94.026,202184.0,4,10,12.21693839884048,0.3314596947976687
82,Itzhak Klepter,◊ì◊û◊ô◊ï◊ü ◊ó◊ï◊§◊©◊ô,36.0,0.602,0.81,4.0,-7.877,0,0.0346,0.311,0.0108,0.276,0.636,138.722,273053.0,4,10,12.517424856804624,0.2707902047815628
83,Blues Pills,Black Smoke,36.0,0.234,0.938,11.0,-2.49,0,0.116,0.00455,8.88e-05,0.225,0.52,176.989,278468.0,4,10,12.537062021561532,0.004539680042031837
84,The Specials,Ghost Town,61.0,0.665,0.766,10.0,-9.454,0,0.0505,0.0492,0.338,0.113,0.905,73.683,219307.0,4,6,12.298232413448774,0.04802796901058155
85,Charlie Hunter,Two For Bleu,36.0,0.603,0.57,2.0,-12.545,1,0.0512,0.265,0.827,0.0813,0.483,116.322,339333.0,4,10,12.734740152059107,0.23507212217948356
86,Pomegranate Tiger,Stomp the Haunted Crown,31.0,0.554,0.918,8.0,-6.172,0,0.107,2.86e-05,0.704,0.551,0.27,120.05,356160.0,4,8,12.78313815479224,2.859959102779772e-05
87,The Struts,Body Talks,57.0,0.537,0.92,10.0,-3.438,0,0.274,0.00592,0.001565,0.34,0.843,185.703,177160.0,4,10,12.084814202636242,0.005902545652613905
88,Testament,Night of the Witch,49.0,0.437,0.99,11.0,-4.997,1,0.142,7.83e-06,0.165,0.316,0.038,118.049,392067.0,4,8,12.879190573116281,7.829969345710016e-06
89,YBN Nahmir,Opp Stoppa (feat. Lil Eazzyy),57.0,0.836,0.367,7.0,-4.267,1,0.126,0.0297,0.000101,0.151,0.212,78.009,135421.0,4,5,11.816151107797806,0.029267497680568084
90,Understand It,The Franklin Electric,42.0,0.479,0.58,2.0,-8.793,1,0.0403,0.603,1.62e-05,0.0745,0.384,95.994,3.670216667,4,0,1.5412054661077799,0.47187687362741587
91,Filthy Gears,Magneto,18.0,0.76,0.532,9.0,-9.246,1,0.0427,0.0112,0.715,0.119,0.139,140.079,197221.0,4,5,12.192085276794236,0.011137744410455924
92,Bush,Mad Love,36.0,0.366,0.726,4.0,-4.479,1,0.0332,0.000988,0.000108,0.097,0.246,137.124,238826.0,4,10,12.383494719435815,0.000987512249238731
93,Eden Ben Zaken,◊™◊®◊ô◊û◊ï,31.0,0.816,0.891,11.0,-2.170850000000002,0,0.0605,0.154,0.000217,0.378,0.412,124.998,169921.0,4,9,12.043094787211263,0.14323416808590783
94,Alfie Templeman,Shady,44.0,0.789,0.743,6.0,-6.113,0,0.0861,0.0234,0.015,0.489,0.629,109.987,175205.0,4,6,12.07371770347337,0.023130417388854383
95,Lords Of The New Church,Dance With Me,38.0,0.528,0.921,6.0,-5.838,0,0.0693,0.000959,0.258,0.13,0.768,134.517,205693.0,4,10,12.234144906523364,0.0009585404532800684
96,Long Beach Dub Allstars,Owens Brothers,46.0,0.621,0.897,7.0,-8.113,0,0.0317,0.135,0.00239,0.208,0.906,162.127,195253.0,4,10,12.182056554047783,0.126632650933366
97,Nick Cave & The Bad Seeds,Deanna,41.0,0.415,0.94,Unknown,-4.874,1,0.0889,0.0049,0.0457,0.144,0.439,134.392,225627.0,4,6,12.326642904379778,0.004888034072775961
98,Menta,Ocho Domingos,29.0,0.447,0.81,2.0,-4.246,1,0.0379,0.000376,2.42e-05,0.184,0.326,155.921,154761.0,4,6,11.949643731966923,0.00037592932971413
99,Oakwood Station,From This Day Until Forever,44.0,0.401,0.173,5.0,-14.466,1,0.0418,0.973,0.00948,0.137,0.149,79.643,3.862716667,4,7,1.5815972667179192,0.6795552270404783
100,Sara Evans,A Little Bit Stronger,62.0,0.536,0.65,2.0,-5.603,1,0.0337,0.282,1.16e-06,0.0876,0.288,147.93,5.033116667,4,4,1.797263737411874,0.24842135849847827
101,Junge Junge,I Don't Love You (I'm Just Lonely) - Acoustic,50.0,0.818,0.456,Unknown,-7.419,1,0.038,0.823,7.35e-05,0.127,0.784,113.992,3.06205,4,0,1.4016877722897223,0.6004834956965259
102,Disturbed,The Sound of Silence,73.0,0.322,0.28,6.0,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794,248467.0,4,8,12.423069343591099,0.38390093019232385
103,Dio,Holy Diver,66.0,0.473,0.783,10.0,-10.671,0,0.0869,0.0125,0.475,0.268,0.124,91.976,340640.0,4,8,12.738584415773538,0.012422519998557155
104,"Julian Arcas, Andrea González Caballero",Bolero in A Minor,41.0,0.323,0.061875000000000006,9.0,-22.75185,0,0.0384,0.993,0.917,0.11,0.352,83.099,2.274666667,3,7,1.1862160828384685,0.6896410412306577
105,Foo Fighters,Walk,69.0,0.234,0.865,9.0,-5.131,1,0.0516,3.62e-05,0.000532,0.289,0.194,137.107,255960.0,4,10,12.452780368106211,3.619934479581221e-05
106,"Toumani Diabaté, Sidiki Diabaté",Lampedusa,38.0,0.66,0.154,5.0,-16.855,1,0.0429,0.935,0.823,0.0892,0.128,96.226,4.434333333,4,7,1.6927368512280692,0.6601073264817452
107,NUMI,◊ú◊ê ◊ë◊û◊ß◊®◊î,8.0,0.863,0.446,7.0,-12.644,1,0.281,0.486,0.000101,0.0931,0.243,117.919,201356.0,4,5,12.212834731009295,0.39608794629556743
108,LOONY,royal flush,47.0,0.846,0.451,7.0,-4.168,1,0.124,0.263,1.74e-06,0.12,0.63,85.942,146305.0,4,1,11.893455597787222,0.23348984336835407
109,Wynton Kelly,Kelly Blue,32.0,0.588,0.223,5.0,-16.551,0,0.0487,0.776,0.000631,0.106,0.412,126.747,650467.0,4,2,13.385447382796169,0.5743636445699783
110,Gerry Rafferty,Baker Street,69.0,0.497,0.349,7.0,-14.0,1,0.0297,0.0929,0.028,0.259,0.421,113.762,365627.0,4,10,12.809371702062801,0.08883471370049074
111,Aaron Goldberg,Perhaps,38.42,0.471,0.34,Unknown,-18.042,1,0.0405,0.672,0.753,0.12,0.46,99.424,5.290666667,3,7,1.8390670534902527,0.5140205146625099
112,L7,Fake Friends (feat. Joan Jett),36.0,0.393,0.878,9.0,-2.553,1,0.0908,0.00316,3.72e-05,0.298,0.4,142.997,188880.0,4,10,12.148872466112174,0.003155017693300134
113,The Physics House Band,Teratology,37.0,0.327,0.881,8.0,-7.981,0,0.047,0.00279,0.788,0.224,0.221,100.922,385360.0,4,10,12.861935836276862,0.0027861151740986786
114,Bare King,Grim Sleep,22.0,0.279,0.975,7.0,-7.294,1,0.124,8.83e-05,0.0603,0.333,0.0447,144.943,204629.0,4,8,12.228958749316874,8.829610178447326e-05
115,Chris Lane,"Big, Big Plans",71.0,0.574,0.58,7.0,-6.091,1,0.0278,0.076,5.335e-05,0.12,0.4,149.974,3.121783333,4,4,1.4162859175253768,0.07325046173959267
116,"Asha Bhosle, Mohammed Rafi","Uden Jab Jab Zulfen Teri, Pt. 1",18.0,0.559,0.551,6.0,-10.307,1,0.0731,0.745,0.858,0.0878,0.909,137.15,4.951133333,4,3,1.7835816775537165,0.5567545556543905
117,Yoav Itzhak,◊§◊†◊ô ◊û◊ú◊ê◊ö,30.0,0.614,0.836,4.0,-8.647,0,0.0338,0.0685,0.00104,0.0214,0.81,97.992,231133.0,4,9,12.350752907898835,0.06625579577706527
118,Foals,My Number,68.0,0.639,0.715,6.0,-8.954,0,0.0392,0.0243,0.000552,0.619,0.813,128.072,238853.0,4,6,12.383607765590169,0.024009452460351865
119,Keane,Fly To Me,43.0,0.417,0.497,7.0,-7.812,1,0.0325,0.0097,0.00021,0.126,0.0698,119.867,332973.0,4,10,12.715819687836252,0.009653257028138304
120,Biig Piig,Oh No,60.0,0.697,0.41,7.0,-9.149,1,0.144,0.412,0.79,0.111,0.377,166.133,164947.0,4,1,12.013385551696892,0.34500713907105035
121,Tall Juan,Atlantico,27.0,0.6,0.51,9.0,-8.318,1,0.0446,0.16,0.000314,0.424,0.512,120.4,190297.0,4,1,12.15634654350752,0.1484200051182733
122,Haunted Shores,Harrison Fjord,34.0,0.44,0.984,5.0,-6.091,1,0.112,2.84e-06,0.93,0.156,0.0382,104.979,311986.0,4,8,12.650716799256873,2.839995967207635e-06
123,Aukai,Akal Ki,40.0,0.652,0.515,11.0,-12.034,0,0.0324,0.239,0.751,0.0991,0.203,134.969,244000.0,1,1,12.404927602627597,0.21430460264700538
124,Axty,What I've Become,39.0,0.492,0.954,8.0,-3.757,0,0.106,0.000333,0.001565,0.338,0.184,127.988,264375.0,4,10,12.485127611281436,0.0003329445678056057
125,Enslaved,Loke,30.0,0.189,0.99,11.0,-7.07,1,0.116,2.86e-06,0.88,0.771,0.0336,81.58,261920.0,4,8,12.475798210557356,2.8599959102077983e-06
126,Great Grandpa,Bloom,37.0,0.236,0.485,10.0,-8.975,1,0.0288,0.234,0.071,0.11,0.123,97.577,262200.0,4,1,12.476866664186996,0.21026092548319608
127,Richie Kotzen,The Damned,39.0,0.479,0.939,11.0,-3.826,0,0.059,0.0417,3.66e-06,0.323,0.547,93.047,279086.0,4,2,12.539278840152258,0.04085399400826605
128,Armor For Sleep,Car Underwater,52.0,0.435,0.774,2.0,-5.052,1,0.0631,0.014,0.001565,0.127,0.448,147.466,228707.0,4,10,12.340201359722643,0.013902905168991422
129,Jake Bugg,Lightning Bolt,62.0,0.551,0.839,9.0,-4.555,1,0.0787,0.0818,0.0457,0.151,0.681,116.051,144013.0,4,6,11.877665796054586,0.07862632045518954
130,Calum Scott,Dancing On My Own,82.0,0.681,0.174,1.0,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672,260285.0,4,9,12.469536305440966,0.6081338062329886
131,Amanar,Alghafiat,38.0,0.707,0.611,7.0,-7.058,0,0.032,0.473,4.43e-06,0.0729,0.884,134.933,397707.0,4,2,12.893473346658539,0.38730113748049316
132,Jealous of the Birds,Young Neanderthal,34.0,0.549,0.867,2.0,-4.666,1,0.0371,0.0108,4.46e-06,0.171,0.486,110.032,186760.0,4,6,12.137585003536163,0.010742096531902109
133,Scott Stevens,Neon On Ya,48.0,0.698,0.553,1.0,-7.615,1,0.0583,0.02,0.00174,0.0837,0.519,117.015,217489.0,4,10,12.289908151442406,0.019802627296179712
134,Sepultura,Tainted Love,44.0,0.532,0.953,6.0,-4.09,1,0.102,0.000113,3.49e-05,0.118,0.416,137.036,182188.0,4,8,12.112799888769214,0.0001129936159809249
135,Jagwar Twin,Happy Face,64.0,0.396,0.77,9.0,-4.728,1,0.06,0.0184,0.001565,0.12,0.412,177.542,170733.0,4,10,12.047862068796546,0.018232768261059712
136,Jebediah,Leaving Home,51.0,0.522,0.812,6.0,-6.606,1,0.0346,0.0253,2.87e-05,0.131,0.459,121.529,181333.0,4,10,12.1080959136338,0.024985252693908503
137,You Am I,Berlin Chair,47.0,0.271,0.882,7.0,-8.483,1,0.06,0.0404,0.00201,0.0826,0.423,142.92,154667.0,4,10,11.94903616319278,0.039605254592359425
138,"Rajery, Ballaké Sissoko, Driss El Maloumi",Kadiatou,25.0,0.389,0.236,5.0,-11.633,1,0.0388,0.803,0.74,0.11,0.139,137.499,4.537783333,4,7,1.7115943002925555,0.5894519442211803
139,Apoorva Krishna,Blossom,14.0,0.309,0.307,8.0,-9.591,1,0.0335,0.869,0.808,0.345,0.0392,103.553,358000.0,4,6,12.788291058675025,0.6254035284734257
140,Laura Cannell,Earthly Unearthly,14.0,0.172,0.061875000000000006,10.0,-21.748,1,0.0387,0.866,0.155,0.0791,0.0391,70.91565,278698.0,4,6,12.537887625376053,0.6237971024251521
